iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,10a,245.414,11.535,256.949,1.8375
1,10b,138.219,3.442,141.661,2.4455
1,10c,6970.571,3.468,6974.039,5.7434
1,11a,55.614,5.745,61.359,18.1154
1,11b,20.651,4.951,25.602,10.5471
1,11c,103.174,5.258,108.432,13.4676
1,11d,94.062,5.307,99.369,6.8368
1,12a,105.145,5.354,110.499,5.6684
1,12b,36.946,5.867,42.813,3.419
1,12c,317.192,5.28,322.472,11.5422
1,13a,607.165,8.604,615.769,5.1741
1,13b,275.418,8.796,284.214,6.2289
1,13c,262.604,8.532,271.136,3.6061
1,13d,941.19,8.552,949.742,5.0759
1,14a,241.726,5.356,247.082,21.3898
1,14b,110.032,4.891,114.923,4.1078
1,14c,414.925,5.113,420.038,25.1027
1,15a,157.363,11.82,169.183,3.0283
1,15b,18.777,11.392,30.169,3.5767
1,15c,603.687,12.492,616.179,3.6553
1,15d,308.353,13.059,321.412,5.8831
1,16a,156.184,6.419,162.603,8.5075
1,16b,10043.236,6.202,10049.438,37.073
1,16c,881.887,6.358,888.245,24.3997
1,16d,726.573,6.24,732.813,24.9874
1,17a,7038.388,3.985,7042.373,35.9395
1,17b,5357.547,3.972,5361.519,31.2046
1,17c,5234.095,3.939,5238.034,33.5948
1,17d,5326.423,3.996,5330.419,54.1499
1,17e,7084.625,3.842,7088.467,35.6406
1,17f,6535.104,3.993,6539.097,37.6148
1,18a,2549.478,3.909,2553.387,5.563
1,18b,110.837,4.008,114.845,5.9781
1,18c,3272.246,3.978,3276.224,7.5543
1,19a,131.08,18.826,149.906,9.8205
1,19b,64.825,14.829,79.654,8.4129
1,19c,1000.685,20.582,1021.267,11.3543
1,19d,3176.366,21.582,3197.948,6.129
1,1a,39.04,2.066,41.106,1.5607
1,1b,36.497,1.726,38.223,7.9545
1,1c,38.301,1.735,40.036,1.9086
1,1d,36.455,1.671,38.126,8.4569
1,20a,2008.397,11.892,2020.289,15.5797
1,20b,1579.523,11.564,1591.087,14.2331
1,20c,866.377,12.445,878.822,19.8577
1,21a,56.562,11.651,68.213,23.3651
1,21b,38.328,11.06,49.388,16.1667
1,21c,38.639,11.352,49.991,22.9058
1,22a,300.982,29.53,330.512,29.7569
1,22b,213.458,30.173,243.631,12.0574
1,22c,907.459,29.591,937.05,50.9815
1,22d,566.282,32.274,598.556,48.4399
1,23a,193.929,29.189,223.118,5.0458
1,23b,42.397,27.56,69.957,5.5679
1,23c,187.793,27.341,215.134,1.9236
1,24a,306.174,57.325,363.499,21.3734
1,24b,16.008,51.785,67.793,4.2373
1,25a,1485.575,10.13,1495.705,45.904
1,25b,193.683,9.987,203.67,6.2503
1,25c,5234.008,10.781,5244.789,60.3968
1,26a,12131.373,48.861,12180.234,17.0993
1,26b,150.268,49.242,199.51,11.7425
1,26c,1097.221,48.866,1146.087,12.2682
1,27a,12.997,47.954,60.951,3.3333
1,27b,5.277,46.983,52.26,4.1487
1,27c,17.206,49.411,66.617,3.087
1,28a,851.357,59.669,911.026,71.1659
1,28b,445.787,58.053,503.84,58.8041
1,28c,898.277,59.965,958.242,53.0267
1,29a,53.588,70.619,124.207,7.7208
1,29b,8.67,70.826,79.496,3.3953
1,29c,715.268,74.75,790.018,68.8643
1,2a,308.141,1.945,310.086,31.5217
1,2b,292.172,2.058,294.23,36.7786
1,2c,276.982,2.008,278.99,8.7956
1,2d,379.937,2.108,382.045,31.75
1,30a,3696.864,49.508,3746.372,37.7648
1,30b,245.102,47.784,292.886,8.7455
1,30c,2148.479,51.365,2199.844,53.9099
1,31a,675.996,39.048,715.044,34.2144
1,31b,249.926,34.957,284.883,12.5577
1,31c,687.081,39.85,726.931,39.3635
1,32a,8.164,2.364,10.528,9.5469
1,32b,105.727,2.942,108.669,22.7631
1,33a,22.417,60.023,82.44,3.5952
1,33b,12.023,58.486,70.509,2.6411
1,33c,33.422,59.175,92.597,5.4494
