iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,10a,243.993,8.006,251.999,1.8375
1,10b,137.98,6.201,144.181,3.168
1,10c,7642.924,5.887,7648.811,19.5144
1,11a,57.535,13.006,70.541,30.6095
1,11b,56.127,11.906,68.033,38.7428
1,11c,65.039,12.128,77.167,14.111
1,11d,41.06,10.791,51.851,10.551
1,12a,107.724,12.749,120.473,11.2146
1,12b,38.09,12.704,50.794,4.6276
1,12c,398.827,12.631,411.458,16.7975
1,13a,1049.523,17.313,1066.836,14.4235
1,13b,278.941,19.863,298.804,3.3795
1,13c,265.229,19.574,284.803,4.4436
1,13d,4881.054,17.374,4898.428,12.6047
1,14a,281.716,11.585,293.301,46.3094
1,14b,126.134,13.1,139.234,9.5257
1,14c,762.145,11.691,773.836,12.5272
1,15a,2894.872,26.297,2921.169,51.0869
1,15b,25.985,28.747,54.732,4.339
1,15c,2244.192,26.336,2270.528,7.0554
1,15d,290708.737,24.102,290732.839,277.3147
1,16a,2578.805,12.024,2590.829,8.7087
1,16b,10102.373,10.746,10113.119,32.4357
1,16c,1339.569,11.029,1350.598,8.4888
1,16d,1119.322,11.988,1131.31,7.5148
1,17a,5718.138,6.868,5725.006,7.6003
1,17b,13008.437,6.379,13014.816,4.8381
1,17c,4484.719,6.427,4491.146,7.7953
1,17d,4541.256,6.516,4547.772,2.9602
1,17e,14792.981,6.536,14799.517,9.7024
1,17f,173974.987,6.258,173981.245,182.7651
1,18a,9043.691,7.156,9050.847,70.4345
1,18b,231.583,8.809,240.392,5.6344
1,18c,8733.391,7.809,8741.2,6.4928
1,19a,129.462,54.275,183.737,29.8893
1,19b,57.727,55.698,113.425,5.9894
1,19c,5137.856,50.127,5187.983,259.1611
1,19d,15725.45,49.315,15774.765,27.1544
1,1a,39.531,3.424,42.955,4.1812
1,1b,36.889,2.929,39.818,6.0629
1,1c,38.143,3.02,41.163,3.5361
1,1d,36.842,2.782,39.624,3.7404
1,20a,2005.709,31.285,2036.994,21.5308
1,20b,1393.689,32.862,1426.551,3.8401
1,20c,687.776,31.292,719.068,8.1493
1,21a,207.878,28.575,236.453,23.6044
1,21b,42.072,28.24,70.312,5.1877
1,21c,35.577,28.112,63.689,2.28
1,22a,1886.283,73.646,1959.929,70.0098
1,22b,464.317,73.409,537.726,13.341
1,22c,1237.558,75.075,1312.633,19.889
1,22d,1298.605,72.096,1370.701,14.4186
1,23a,128.907,68.538,197.445,3.1017
1,23b,69.41,67.054,136.464,5.9124
1,23c,265.617,70.592,336.209,2.88
1,24a,310.494,757.768,1068.262,12.7125
1,24b,18.248,825.472,843.72,4.583
1,25a,3107.965,22.549,3130.514,18.1465
1,25b,143.87,25.0,168.87,4.4799
1,25c,5529.913,23.656,5553.569,11.4155
1,26a,12363.443,678.214,13041.657,16.0443
1,26b,114.964,654.263,769.227,5.3642
1,26c,1557.253,649.466,2206.719,18.8749
1,27a,13.931,751.647,765.578,5.6363
1,27b,7.104,717.076,724.18,5.6363
1,27c,42.554,753.716,796.27,7.4118
1,28a,2661.593,1004.808,3666.401,20.2936
1,28b,802.023,984.047,1786.07,3.7843
1,28c,989.315,1022.646,2011.961,11.8004
1,29a,37.596,1488.796,1526.392,13.0639
1,29b,40.859,1428.597,1469.456,4.1207
1,29c,524.694,1402.216,1926.91,13.7728
1,2a,259.993,2.492,262.485,4.2615
1,2b,258.433,2.903,261.336,3.9641
1,2c,246.767,2.823,249.59,13.0846
1,2d,283.054,2.873,285.927,3.8347
1,30a,786.321,700.965,1487.286,11.969
1,30b,184.164,801.77,985.934,3.8214
1,30c,1481.579,678.026,2159.605,6.1131
1,31a,184.538,82.64,267.178,18.0462
1,31b,122.631,91.765,214.396,10.691
1,31c,235.423,81.9,317.323,10.6974
1,32a,520.966,3.431,524.397,6.0983
1,32b,100.322,3.499,103.821,10.2731
1,33a,16.314,788.514,804.828,2.7711
1,33b,100.764,744.88,845.644,6.4871
1,33c,33.849,803.317,837.166,3.4696
1,3a,252.896,2.265,255.161,3.2386
1,3b,209.872,2.422,212.294,2.5669
1,3c,265.088,2.61,267.698,1.787
1,4a,1330.444,3.091,1333.535,4.0268
1,4b,75.415,3.197,78.612,5.7213
1,4c,376.018,3.005,379.023,1.8138
1,5a,67.634,3.681,71.315,3.1826
1,5b,63.488,3.243,66.731,1.2776
1,5c,109.343,3.312,112.655,16.1222
1,6a,24.391,2.923,27.314,17.8176
1,6b,173.855,2.86,176.715,2.8249
1,6c,6.795,3.127,9.922,4.8289
1,6d,6431.751,4.043,6435.794,2.7191
1,6e,16.877,3.022,19.899,9.2986
1,6f,3681.349,2.609,3683.958,2.7396
1,7a,891.626,14.022,905.648,62.4774
1,7b,181.137,13.466,194.603,2.0063
1,7c,6419.519,15.279,6434.798,15.4147
1,8a,832.35,8.774,841.124,6.0827
1,8b,89.864,10.25,100.114,3.1379
1,8c,13601.24,6.285,13607.525,5.8063
1,8d,745.325,6.707,752.032,1.8249
1,9a,158.095,17.391,175.486,4.1646
1,9b,876.405,16.675,893.08,2.9351
1,9c,225.558,14.965,240.523,4.4215
1,9d,1736.661,14.2,1750.861,9.7348
2,10a,22021.671,7.364,22029.035,3.0121
2,10b,142.196,6.766,148.962,2.7884
2,10c,18938.994,6.402,18945.396,4.5987
2,11a,248.306,13.168,261.474,5.0006
2,11b,71.741,12.67,84.411,6.0871
2,11c,41.204,12.262,53.466,2.5985
2,11d,36.532,11.629,48.161,2.1483
2,12a,200.465,13.28,213.745,2.1868
2,12b,37.733,13.073,50.806,2.9608
2,12c,597.342,13.431,610.773,7.075
2,13a,4041.63,16.795,4058.425,9.0892
2,13b,278.435,20.208,298.643,2.1752
2,13c,264.209,20.15,284.359,2.0015
2,13d,1177.463,17.037,1194.5,3.7971
2,14a,900.65,12.408,913.058,2.1214
2,14b,114.173,13.408,127.581,2.4923
2,14c,409.558,12.191,421.749,2.714
2,15a,266.885,27.572,294.457,4.9547
2,15b,19.426,29.946,49.372,1.9279
2,15c,2039.498,27.434,2066.932,3.648
2,15d,93511.099,24.997,93536.096,6.3062
2,16a,182.925,11.928,194.853,5.3568
2,16b,19166.901,10.737,19177.638,9.8892
2,16c,1020.384,11.594,1031.978,4.4374
2,16d,795.109,12.223,807.332,2.8653
2,17a,4978.958,6.775,4985.733,3.3512
2,17b,4631.423,6.577,4638.0,2.8121
2,17c,4568.49,6.616,4575.106,3.9083
2,17d,4597.343,6.355,4603.698,3.3685
2,17e,5594.371,6.448,5600.819,3.1818
2,17f,7846.566,6.514,7853.08,2.5282
2,18a,8118.029,7.54,8125.569,1.7576
2,18b,231.971,9.253,241.224,1.3642
2,18c,3131.558,7.999,3139.557,5.301
2,19a,2028.983,57.899,2086.882,9.8274
2,19b,55.579,58.827,114.406,5.1442
2,19c,1240.168,53.124,1293.292,4.2455
2,19d,2702.832,49.511,2752.343,3.7023
2,1a,39.494,3.544,43.038,2.0818
2,1b,36.775,2.901,39.676,5.3592
2,1c,38.271,3.065,41.336,1.7064
2,1d,36.951,2.837,39.788,5.8146
2,20a,2338.724,31.956,2370.68,4.8645
2,20b,1174.894,32.724,1207.618,2.5854
2,20c,781.882,31.581,813.463,7.8006
2,21a,48.107,28.364,76.471,6.9755
2,21b,22.918,27.503,50.421,5.8315
2,21c,29.476,28.197,57.673,5.1433
2,22a,908.538,73.204,981.742,3.679
2,22b,877.715,75.97,953.685,3.8178
2,22c,1058.153,76.531,1134.684,5.2651
2,22d,1084.283,69.746,1154.029,2.7374
2,23a,154.093,68.33,222.423,2.6972
2,23b,71.991,65.563,137.554,2.883
2,23c,265.186,66.81,331.996,1.97
2,24a,581.668,761.225,1342.893,14.232
2,24b,72.192,814.337,886.529,4.4118
2,25a,1242.235,23.472,1265.707,5.7641
2,25b,146.398,25.141,171.539,2.583
2,25c,4962.8,24.213,4987.013,3.8875
2,26a,352.443,683.175,1035.618,3.9502
2,26b,127.439,656.691,784.13,4.0592
2,26c,762.881,638.071,1400.952,4.0823
2,27a,14.576,750.791,765.367,4.1787
2,27b,8.604,715.818,724.422,2.7528
2,27c,32.51,755.535,788.045,8.4564
2,28a,965.885,1005.045,1970.93,2.7163
2,28b,853.092,976.125,1829.217,11.8126
2,28c,475.191,1006.184,1481.375,9.0821
2,29a,24.152,1490.499,1514.651,4.0274
2,29b,15.712,1424.191,1439.903,5.5633
2,29c,395.449,1398.328,1793.777,5.0993
2,2a,257.094,2.463,259.557,3.6677
2,2b,257.025,2.882,259.907,3.7217
2,2c,163.185,2.94,166.125,10.2294
2,2d,282.898,2.816,285.714,3.5893
2,30a,1019.264,700.277,1719.541,2.4885
2,30b,186.198,801.54,987.738,2.6533
2,30c,3213.832,684.084,3897.916,10.7502
2,31a,319.035,81.463,400.498,6.129
2,31b,30.05,91.068,121.118,6.8886
2,31c,266.836,80.467,347.303,3.1337
2,32a,8.202,3.495,11.697,20.6459
2,32b,99.017,3.857,102.874,5.8391
2,33a,13.047,785.047,798.094,1.5984
2,33b,64.906,740.119,805.025,4.3897
2,33c,193.443,803.511,996.954,3.1538
2,3a,251.877,2.268,254.145,2.9843
2,3b,206.177,2.348,208.525,1.8265
2,3c,263.528,2.534,266.062,1.6742
2,4a,89.969,3.229,93.198,3.1239
2,4b,68.029,3.058,71.087,2.9877
2,4c,375.885,2.976,378.861,1.7769
2,5a,67.433,3.686,71.119,1.8719
2,5b,62.691,3.393,66.084,1.0187
2,5c,96.93,3.27,100.2,2.7971
2,6a,22.951,2.776,25.727,6.7236
2,6b,175.857,2.802,178.659,2.343
2,6c,6.621,3.131,9.752,3.7461
2,6d,6419.412,2.779,6422.191,1.834
2,6e,16.894,3.056,19.95,8.9174
2,6f,3663.076,2.595,3665.671,1.8724
2,7a,127.748,14.179,141.927,7.887
2,7b,123.139,12.922,136.061,2.2142
2,7c,1592.898,15.209,1608.107,24.3613
2,8a,858.095,8.555,866.65,3.0463
2,8b,89.207,10.595,99.802,2.0082
2,8c,5498.71,6.281,5504.991,3.0913
2,8d,592.231,6.769,599.0,1.3849
2,9a,158.65,18.03,176.68,1.5727
2,9b,933.244,16.769,950.013,2.426
2,9c,227.099,15.111,242.21,2.7125
2,9d,2336.984,14.209,2351.193,2.4784
3,10a,239.392,7.093,246.485,1.8634
3,10b,137.672,6.674,144.346,2.8406
3,10c,10005.426,6.214,10011.64,1.6182
