iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q001,53.998,1.464,55.462,1.0
1,q002,785.265,1.137,786.402,1.9074
1,q003,214.193,0.97,215.163,2.123
1,q004,254.431,0.753,255.184,2.118
1,q005,578.368,1.027,579.395,1.7428
1,q006,166.555,1.905,168.46,1.6423
1,q007,183.229,2.529,185.758,1.5711
1,q008,243.479,1.925,245.404,1.573
1,q009,179.387,2.667,182.054,1.1486
1,q010,107.111,2.264,109.375,1.5844
1,q011,90.219,1.114,91.333,1.8696
1,q012,143.374,2.437,145.811,2.5393
1,q013,72.212,1.048,73.26,2.1414
1,q014,44.184,2.137,46.321,3.9355
1,q015,720.482,0.973,721.455,1.1204
1,q016,94.127,2.225,96.352,1.7283
1,q017,20.856,1.05,21.906,1.6654
1,q018,69.92,1.421,71.341,1.1378
1,q019,42.455,0.867,43.322,1.0005
1,q020,110.318,2.235,112.553,1.1355
1,q021,66.153,1.034,67.187,1.9906
1,q022,162.226,2.293,164.519,2.5519
1,q023,124.365,0.988,125.353,1.7936
1,q024,37.196,1.001,38.197,2.6713
1,q025,101.524,3.002,104.526,1.227
1,q026,59.402,2.07,61.472,1.1128
1,q027,40.126,2.8,42.926,2.5507
1,q028,1129.024,2.133,1131.157,1.1597
1,q029,145.695,2.08,147.775,1.4143
1,q030,34980.224,2.35,34982.574,8.4392
1,q031,2261.166,2.547,2263.713,3.9648
1,q032,1390.568,2.612,1393.18,2.4786
1,q033,98.703,2.369,101.072,5.0244
1,q034,37197.306,4.634,37201.94,2.8598
1,q035,685.658,5.84,691.498,3.0366
1,q036,49.954,2.292,52.246,3.1323
1,q037,158.098,2.424,160.522,1.3305
1,q038,6752.961,2.763,6755.724,1.7901
1,q039,723.863,6.551,730.414,3.1821
1,q040,79.066,4.555,83.621,1.1913
1,q041,15.394,1.961,17.355,2.2895
1,q042,215.891,4.715,220.606,1.2184
1,q043,654.067,2.702,656.769,1.4249
1,q044,405.8,2.325,408.125,2.1509
1,q045,20.467,2.278,22.745,2.1246
1,q046,273.243,7.156,280.399,2.1794
1,q047,4077.498,3.695,4081.193,2.9768
1,q048,61.103,9.497,70.6,14.6859
1,q049,1502.272,8.962,1511.234,2.6558
1,q050,133.839,3.447,137.286,7.1615
1,q051,10944.355,3.448,10947.803,3.2508
1,q052,12706.799,3.574,12710.373,3.759
1,q053,192.146,6.387,198.533,2.1889
1,q054,15.266,2.683,17.949,1.6121
1,q055,15.891,6.463,22.354,1.8593
1,q056,3160.375,6.421,3166.796,6.8069
1,q057,8489.514,6.315,8495.829,17.0243
1,q059,10761.671,11.296,10772.967,3.6231
1,q060,1067.432,8.953,1076.385,1.4743
1,q061,193.064,3.84,196.904,1.9656
1,q062,71.962,9.527,81.489,3.3379
1,q063,70.172,4.067,74.239,1.781
1,q064,300.633,9.828,310.461,3.1013
1,q065,79.028,9.852,88.88,2.4407
1,q066,277.5,10.107,287.607,2.998
1,q067,19.293,4.261,23.554,3.1319
1,q068,82512.199,10.733,82522.932,4.2276
1,q069,7812.368,13.313,7825.681,2.251
1,q070,24521.769,10.462,24532.231,8.0933
1,q071,5309.897,11.459,5321.356,3.3548
1,q072,323.097,12.244,335.341,2.9876
1,q073,186.28,4.886,191.166,3.1141
1,q074,3198.613,4.11,3202.723,2.8524
1,q075,563.473,7.584,571.057,1.7268
1,q076,181.466,9.67,191.136,1.4413
1,q077,913.087,3.953,917.04,4.0537
1,q078,66.05,4.102,70.152,2.8937
1,q079,385.348,4.1,389.448,1.6488
1,q080,147.095,1.061,148.156,1.4635
1,q081,96.166,1.02,97.186,1.592
1,q082,204.776,1.08,205.856,2.1511
1,q083,227.509,0.992,228.501,2.0655
1,q084,726.215,1.001,727.216,1.5086
1,q085,713.085,1.051,714.136,1.4893
1,q086,187.433,4.582,192.015,1.4091
1,q087,106.505,0.983,107.488,1.7088
1,q088,704.259,0.952,705.211,1.1204
1,q089,175.916,2.24,178.156,2.2199
1,q090,178.944,1.029,179.973,1.6058
1,q091,496.944,1.079,498.023,2.2676
