iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q001,57.641,3.814,61.455,1.0
1,q002,819.416,4.157,823.573,1.9074
1,q003,243.212,1.761,244.973,2.1236
1,q004,162.187,1.62,163.807,14.2166
1,q005,560.105,1.636,561.741,1.7432
1,q006,859.684,1.691,861.375,56.5097
1,q007,214.864,5.067,219.931,306.6561
1,q008,4613.247,5.352,4618.599,41.044
1,q009,203.254,2.263,205.517,7.7772
1,q010,102.787,6.202,108.989,3.8296
1,q011,85.999,2.812,88.811,1.6264
1,q012,153.216,25.507,178.723,1.5642
1,q013,81.582,5.639,87.221,2.035
1,q014,63.415,5.557,68.972,17.4926
1,q015,813.618,5.433,819.051,6.2371
1,q016,74.018,2.519,76.537,1.7327
1,q017,16.136,2.012,18.148,28.5242
1,q018,204.67,5.158,209.828,31.8591
1,q019,139.052,4.384,143.436,4.813
1,q020,102.631,5.341,107.972,1.3424
1,q021,81.485,2.315,83.8,11.4788
1,q022,306.433,2.523,308.956,5.0126
1,q023,100.758,2.052,102.81,1.8051
1,q024,36.686,2.237,38.923,4.2623
1,q025,201.887,3.603,205.49,25.5402
1,q026,80.864,2.721,83.585,1.6224
1,q027,93.998,9.423,103.421,3.86
1,q028,1152.033,2.845,1154.878,1.3764
1,q029,132.367,3.506,135.873,2.4688
1,q030,34899.172,11.092,34910.264,6.737
1,q031,13605.442,8.337,13613.779,3.9693
1,q032,1424.463,10.315,1434.778,5.7864
1,q033,106.025,4.148,110.173,4.1614
1,q034,37142.951,3.253,37146.204,3.3093
1,q035,252.608,3.792,256.4,2.8712
1,q036,67.802,3.698,71.5,5.2543
1,q037,190.311,7.683,197.994,1.4099
1,q038,9083.547,8.753,9092.3,2.9109
1,q039,252.09,10.059,262.149,2.0682
1,q040,41.618,3.352,44.97,2.9516
1,q041,44.845,8.75,53.595,16.2579
1,q042,189.074,7.153,196.227,1.4825
1,q043,653.941,3.523,657.464,4.0816
1,q044,240.998,4.85,245.848,1.8145
1,q045,192.261,9.625,201.886,5.5784
1,q046,150.529,19.8,170.329,2.8286
1,q047,4491.246,6.671,4497.917,5.0227
1,q048,59.322,13.695,73.017,11.8893
1,q049,2345.61,7.079,2352.689,3.5715
1,q050,70.477,6.982,77.459,10.6112
1,q051,12697.248,6.895,12704.143,2.9471
1,q052,13591.673,18.94,13610.613,2.9909
1,q053,194.149,4.272,198.421,1.933
1,q054,53.943,4.344,58.287,4.6991
1,q055,50.562,9.883,60.445,2.2773
1,q056,3029.632,8.844,3038.476,11.4891
1,q057,65.966,8.916,74.882,5.4378
1,q059,9113.648,25.281,9138.929,2.4663
1,q060,2632.396,15.84,2648.236,7.0111
1,q061,164.547,11.546,176.093,1.8601
1,q062,91.991,20.01,112.001,2.756
1,q063,82.145,21.723,103.868,3.428
1,q064,151.931,20.483,172.414,3.0844
1,q065,109.052,8.777,117.829,2.0182
1,q066,102.655,9.273,111.928,2.4047
1,q067,45.757,9.563,55.32,3.9717
1,q068,68579.891,7.44,68587.331,2.0337
1,q069,7286.495,8.142,7294.637,1.7142
1,q070,8640.019,10.463,8650.482,2.2268
1,q071,8238.328,7.218,8245.546,2.3732
1,q072,291.04,20.754,311.794,2.8613
1,q073,2534.887,9.272,2544.159,6.4706
1,q074,1911.288,18.611,1929.899,1.6294
1,q075,429.977,23.541,453.518,1.8818
1,q076,228.291,21.467,249.758,2.8047
1,q077,443.434,23.0,466.434,1.8173
1,q078,231.424,19.871,251.295,1.9565
1,q079,753.938,8.007,761.945,3.0381
1,q080,158.685,2.644,161.329,1.5407
1,q081,98.683,2.528,101.211,1.2019
1,q082,192.63,2.507,195.137,1.3414
1,q083,240.5,5.34,245.84,1.615
1,q084,737.386,2.417,739.803,1.7913
1,q085,727.805,2.278,730.083,1.8015
1,q086,166.404,2.802,169.206,1.1935
1,q087,105.534,5.235,110.769,1.6252
1,q088,728.995,5.254,734.249,1.1182
1,q089,149.402,6.04,155.442,2.1884
1,q090,222.861,5.732,228.593,1.3102
1,q091,497.896,2.366,500.262,2.1519
1,q092,114.284,4.925,119.209,1.2267
1,q093,256.827,2.197,259.024,2.666
1,q094,244.392,2.031,246.423,2.1737
1,q095,748.569,6.883,755.452,2.7766
1,q096,391.87,3.667,395.537,1.4162
1,q097,4673.468,11.038,4684.506,12.8744
1,q098,3702.047,8.616,3710.663,4.6859
1,q099,182.676,8.441,191.117,2.2613
1,q100,123.789,7.661,131.45,1.5152
1,q101,204.688,3.385,208.073,2.3341
1,q102,295.673,6.902,302.575,1.1747
1,q103,763.914,8.198,772.112,3.1093
1,q104,5638.423,3.657,5642.08,2.5905
1,q105,3154288.652,8.817,3154297.469,13.5042
1,q106,337.859,10.031,347.89,2.0301
1,q107,36024.363,3.936,36028.299,3.8906
1,q108,38147.379,3.294,38150.673,4.1537
1,q109,163.224,5.936,169.16,2.5605
1,q110,243.51,5.276,248.786,2.0476
1,q111,258.791,5.696,264.487,2.3627
1,q112,229.372,13.223,242.595,2.3741
1,q113,15579.169,3.095,15582.264,4.2047
1,q114,2825.984,4.152,2830.136,2.1258
1,q115,2786.005,3.552,2789.557,2.4229
1,q116,2130.071,9.092,2139.163,3.3906
1,q117,158.976,3.165,162.141,2.0695
1,q118,160.529,3.262,163.791,1.6826
1,q119,385.15,3.712,388.862,2.2411
1,q121,251.975,4.545,256.52,2.5326
1,q123,8591.017,8.085,8599.102,3.3034
1,q124,521.04,3.688,524.728,2.5101
1,q125,67.657,3.792,71.449,1.7092
1,q127,132.564,15.67,148.234,1.4204
1,q128,120.833,6.886,127.719,1.7031
1,q129,177.039,5.987,183.026,1.6868
1,q130,130.933,12.909,143.842,1.9413
1,q131,223823.26,7.579,223830.839,10.5233
1,q132,817.927,19.598,837.525,2.7303
1,q133,1380.256,17.038,1397.294,4.5974
1,q134,120.269,18.251,138.52,5.645
1,q136,17549.525,7.658,17557.183,1.4296
1,q137,71.723,6.355,78.078,1.8566
1,q138,2985.219,8.249,2993.468,8.0234
1,q139,412.211,7.823,420.034,1.5554
1,q140,9282.921,16.744,9299.665,2.9608
1,q141,24507.692,33.801,24541.493,2.0687
1,q142,21728.476,41.025,21769.501,2.419
1,q143,13328.385,41.097,13369.482,1.5935
1,q144,1742.106,6.952,1749.058,1.5282
1,q145,156.632,9.841,166.473,2.4867
1,q146,395.268,9.372,404.64,1.913
2,q001,29.51,1.646,31.156,1.0075
2,q002,1567.467,1.537,1569.004,2.7599
2,q003,230.313,3.584,233.897,1.3869
2,q004,185.807,1.501,187.308,1.4059
2,q005,456.091,1.439,457.53,2.1547
2,q006,138.805,1.66,140.465,1.7726
2,q007,137.032,2.199,139.231,1.9552
2,q008,232.964,4.859,237.823,1.7538
2,q009,174.144,2.112,176.256,1.2636
2,q010,86.62,2.433,89.053,1.3444
2,q011,70.874,2.83,73.704,1.6562
2,q012,136.257,2.35,138.607,1.1646
2,q013,47.577,2.211,49.788,1.7933
2,q014,53.846,2.279,56.125,10.6863
2,q015,706.012,2.164,708.176,1.1177
2,q016,81.792,5.644,87.436,1.7382
2,q017,16.503,1.801,18.304,3.0271
2,q018,60.458,3.762,64.22,1.8123
2,q019,38.707,1.758,40.465,2.1046
2,q020,114.1,4.953,119.053,2.0524
2,q021,73.32,2.283,75.603,3.0411
2,q022,324.7,2.316,327.016,2.5783
2,q023,109.2,1.936,111.136,1.983
2,q024,36.416,2.031,38.447,1.8175
2,q025,116.248,8.479,124.727,1.4615
2,q026,83.801,6.594,90.395,1.4584
2,q027,87.474,7.51,94.984,1.5711
2,q028,1153.508,2.587,1156.095,2.1706
2,q029,141.407,8.523,149.93,1.8447
2,q030,21569.478,8.268,21577.746,3.9537
2,q031,846.837,8.693,855.53,3.2248
2,q032,6502.514,10.379,6512.893,1.7581
2,q033,120.77,4.266,125.036,4.5878
2,q034,37004.256,8.108,37012.364,4.7211
2,q035,253.885,9.282,263.167,1.922
2,q036,63.595,9.79,73.385,3.3732
2,q037,262.326,3.229,265.555,1.8671
2,q038,6771.017,9.114,6780.131,1.2648
2,q039,255.605,9.771,265.376,2.5435
2,q040,56.421,3.106,59.527,1.8862
2,q041,36.745,3.574,40.319,3.6522
2,q042,200.086,6.849,206.935,1.4441
2,q043,812.943,3.317,816.26,1.5146
2,q044,403.726,4.793,408.519,2.6243
2,q045,129.586,9.833,139.419,2.1762
2,q046,127.782,14.505,142.287,1.7393
2,q047,4459.917,6.852,4466.769,2.1083
2,q048,52.727,5.43,58.157,4.503
2,q049,2706.449,6.735,2713.184,2.6377
2,q050,59.958,6.904,66.862,6.8567
2,q051,8959.092,17.842,8976.934,2.5333
2,q052,13623.551,18.813,13642.364,2.8932
2,q053,198.798,7.05,205.848,1.5902
2,q054,50.868,11.07,61.938,3.6653
2,q055,36.162,10.302,46.464,1.1711
2,q056,1331.073,8.588,1339.661,7.1676
2,q057,83.175,11.384,94.559,3.084
2,q059,11421.932,25.243,11447.175,3.8919
2,q060,1095.423,14.891,1110.314,1.9781
2,q061,156.035,8.758,164.793,1.7386
2,q062,50.091,7.879,57.97,2.9091
2,q063,74.372,8.91,83.282,3.5618
2,q064,112.192,8.673,120.865,1.6503
2,q065,66.699,22.159,88.858,1.6299
2,q066,140.017,21.146,161.163,2.8282
2,q067,44.526,22.807,67.333,3.7819
2,q068,76149.33,6.986,76156.316,4.3497
2,q069,7824.133,20.293,7844.426,2.1565
2,q070,9721.434,9.719,9731.153,2.5308
2,q071,4052.85,7.304,4060.154,2.3219
2,q072,283.48,7.817,291.297,2.7612
2,q073,2528.086,22.152,2550.238,5.2232
2,q074,1884.9,19.131,1904.031,1.6888
2,q075,423.195,12.049,435.244,1.6932
2,q076,205.689,8.563,214.252,2.1425
2,q077,438.842,9.068,447.91,1.3314
2,q078,159.182,7.808,166.99,4.6333
2,q079,455.64,7.89,463.53,2.0751
2,q080,146.297,3.171,149.468,1.5614
2,q081,92.081,5.683,97.764,1.19
2,q082,195.147,2.404,197.551,1.2048
2,q083,240.317,5.678,245.995,1.6233
2,q084,751.857,5.321,757.178,1.8293
2,q085,735.582,2.221,737.803,1.8539
2,q086,178.793,6.293,185.086,1.2456
2,q087,105.571,2.283,107.854,1.5957
2,q088,712.366,5.542,717.908,1.112
2,q089,146.436,2.49,148.926,1.9652
2,q090,224.864,6.114,230.978,1.3029
2,q091,1429.894,2.503,1432.397,2.4189
2,q092,86.287,2.193,88.48,1.1586
2,q093,257.139,2.389,259.528,2.6675
2,q094,264.557,4.84,269.397,2.1676
2,q095,739.489,7.051,746.54,2.2186
2,q096,353.295,3.493,356.788,1.497
2,q097,5827.314,12.535,5839.849,6.2634
2,q098,3708.31,8.991,3717.301,3.8316
2,q099,161.421,3.402,164.823,2.2359
2,q100,121.753,5.936,127.689,1.5263
2,q101,327.118,8.654,335.772,2.6177
2,q102,300.551,2.916,303.467,1.4445
2,q103,736.239,8.387,744.626,3.1359
2,q104,5654.909,8.499,5663.408,2.5631
2,q105,13579.301,8.984,13588.285,3.7138
2,q106,336.494,10.809,347.303,1.9228
2,q107,35120.05,4.034,35124.084,3.9241
2,q108,37826.34,8.252,37834.592,4.1999
2,q109,188.581,5.952,194.533,1.5771
2,q110,275.443,13.978,289.421,1.7491
2,q111,251.805,14.24,266.045,1.9899
2,q112,243.569,16.073,259.642,1.8349
2,q113,1445.201,7.748,1452.949,1.7243
2,q114,1407.782,10.042,1417.824,1.4977
2,q115,3111.001,3.895,3114.896,2.157
2,q116,491.388,9.313,500.701,2.8892
2,q117,305.916,3.178,309.094,2.535
2,q118,372.933,3.345,376.278,1.9886
2,q119,375.267,3.578,378.845,2.1489
2,q121,257.807,11.258,269.065,2.7294
2,q123,9229.418,3.38,9232.798,6.2037
2,q124,499.468,3.582,503.05,2.5002
2,q125,86.8,10.184,96.984,1.7786
2,q127,119.396,6.491,125.887,1.6734
2,q128,121.545,7.182,128.727,1.7352
2,q129,191.503,14.997,206.5,1.3909
2,q130,148.984,13.584,162.568,1.1799
2,q131,22294.328,17.609,22311.937,11.1777
2,q132,50237.843,7.22,50245.063,9.4923
2,q133,1398.77,16.947,1415.717,2.4737
2,q134,146.924,17.514,164.438,5.1569
2,q136,17170.692,7.188,17177.88,1.4352
2,q137,73.399,14.624,88.023,1.689
2,q138,1304.441,11.19,1315.631,3.0387
2,q139,420.6,20.031,440.631,1.6011
2,q140,8051.959,47.67,8099.629,2.0935
2,q141,24769.513,13.423,24782.936,2.0152
2,q142,22832.014,16.76,22848.774,2.1325
2,q143,14053.975,38.911,14092.886,1.586
2,q144,1131.083,18.056,1149.139,1.6568
2,q145,150.113,9.887,160.0,2.07
2,q146,410.383,23.308,433.691,1.9303
3,q001,49.124,2.532,51.656,1.0146
3,q002,1555.434,3.506,1558.94,2.7638
3,q003,213.522,3.545,217.067,2.1239
3,q004,198.075,1.557,199.632,1.4292
3,q005,590.798,4.275,595.073,1.7306
3,q006,163.633,3.787,167.42,1.7996
3,q007,169.37,4.894,174.264,1.9586
3,q008,246.367,4.268,250.635,1.6649
3,q009,164.63,2.087,166.717,1.2936
3,q010,83.787,2.481,86.268,1.3406
3,q011,72.114,2.765,74.879,1.6532
3,q012,122.55,2.372,124.922,1.1724
3,q013,60.865,5.304,66.169,1.6692
3,q014,34.046,2.386,36.432,10.4764
3,q015,725.798,2.376,728.174,1.1098
3,q016,84.8,5.764,90.564,1.7195
3,q017,16.91,2.1,19.01,3.0271
3,q018,63.822,2.309,66.131,1.6101
3,q019,62.533,4.342,66.875,2.0135
3,q020,107.122,5.986,113.108,2.0652
3,q021,70.637,2.297,72.934,2.9944
3,q022,319.851,5.157,325.008,2.629
3,q023,110.572,1.935,112.507,1.9797
3,q024,37.15,2.094,39.244,1.8001
3,q025,111.793,8.603,120.396,1.4345
3,q026,86.341,6.626,92.967,1.4068
3,q027,85.53,7.595,93.125,1.6677
3,q028,1136.761,2.64,1139.401,2.1756
3,q029,128.403,3.459,131.862,2.1058
3,q030,21492.297,8.297,21500.594,3.9348
3,q031,840.924,3.644,844.568,3.2771
3,q032,7196.739,4.43,7201.169,1.7631
3,q033,108.798,4.189,112.987,4.5567
3,q034,37965.572,7.719,37973.291,4.7638
3,q035,256.07,3.798,259.868,1.8852
3,q036,77.494,8.736,86.23,3.3142
3,q037,232.108,3.082,235.19,1.5998
3,q038,7117.325,9.708,7127.033,1.5065
3,q039,231.826,9.857,241.683,1.9814
3,q040,77.278,7.645,84.923,1.8978
3,q041,53.578,8.946,62.524,1.9779
3,q042,199.625,3.113,202.738,1.3963
3,q043,833.861,3.609,837.47,1.5256
3,q044,401.194,12.242,413.436,1.7979
3,q045,172.079,3.997,176.076,2.5495
3,q046,133.859,7.199,141.058,1.7293
3,q047,4486.972,6.472,4493.444,1.8692
3,q048,43.914,5.354,49.268,6.3303
3,q049,3085.702,6.85,3092.552,2.614
3,q050,41.707,7.282,48.989,6.8219
3,q051,8019.826,6.683,8026.509,2.4765
3,q052,13660.286,7.385,13667.671,2.8951
3,q053,185.349,4.114,189.463,1.5542
3,q054,50.715,10.899,61.614,3.6631
3,q055,28.908,4.038,32.946,1.3525
3,q056,1316.331,3.492,1319.823,3.7811
3,q057,82.345,11.894,94.239,2.4525
3,q059,8096.529,9.588,8106.117,5.4835
3,q060,1094.513,15.204,1109.717,1.9502
3,q061,157.037,8.858,165.895,1.7259
3,q062,72.315,11.253,83.568,2.8848
3,q063,81.523,24.104,105.627,3.5296
3,q064,126.291,9.026,135.317,1.6701
3,q065,67.873,8.77,76.643,1.8475
3,q066,96.424,8.856,105.28,2.1547
3,q067,30.537,9.571,40.108,4.1606
3,q068,76292.678,17.007,76309.685,4.064
3,q069,7665.288,72.913,7738.201,2.3731
3,q070,7055.2,10.071,7065.271,2.152
3,q071,4109.945,8.026,4117.971,2.139
3,q072,294.51,19.615,314.125,2.7928
3,q073,2551.163,23.658,2574.821,4.7742
3,q074,1894.995,19.568,1914.563,2.0045
3,q075,527.585,9.329,536.914,1.8678
3,q076,237.72,22.569,260.289,2.6845
3,q077,460.19,23.152,483.342,1.4615
3,q078,153.863,17.871,171.734,3.0616
3,q079,468.425,7.716,476.141,2.0477
3,q080,157.014,6.793,163.807,1.5726
3,q081,80.665,2.438,83.103,1.1784
3,q082,204.029,5.739,209.768,1.1968
3,q083,246.487,2.346,248.833,1.6277
3,q084,735.413,5.693,741.106,1.8823
3,q085,704.906,2.13,707.036,1.9152
3,q086,179.549,6.444,185.993,1.2347
3,q087,102.394,5.652,108.046,1.5744
3,q088,727.654,2.263,729.917,1.1086
3,q089,138.994,5.904,144.898,1.9835
3,q090,170.998,2.465,173.463,1.4601
3,q091,491.885,2.425,494.31,1.8994
3,q092,86.647,2.102,88.749,1.175
3,q093,255.808,5.4,261.208,2.6763
3,q094,250.665,2.065,252.73,2.1646
3,q095,742.188,3.038,745.226,2.2078
3,q096,383.008,3.503,386.511,1.4736
3,q097,5895.69,4.755,5900.445,5.9911
3,q098,2655.02,9.028,2664.048,2.6549
3,q099,173.569,8.382,181.951,2.0789
3,q100,114.693,3.091,117.784,1.7202
3,q101,365.245,7.997,373.242,2.281
3,q102,296.159,2.893,299.052,1.4434
3,q103,741.113,3.62,744.733,3.1193
3,q104,5645.925,3.575,5649.5,2.5374
3,q105,13517.633,7.078,13524.711,3.733
3,q106,1107.698,4.384,1112.082,2.4713
3,q107,35412.113,3.831,35415.944,3.9691
3,q108,37409.363,7.833,37417.196,4.2729
3,q109,201.878,15.268,217.146,1.5023
3,q110,144.607,5.247,149.854,1.5068
3,q111,254.954,5.661,260.615,1.9112
3,q112,242.694,13.806,256.5,1.7589
3,q113,1427.775,4.398,1432.173,1.6583
3,q114,1410.049,4.299,1414.348,1.4421
3,q115,3101.465,8.49,3109.955,2.0775
3,q116,485.211,3.792,489.003,2.7809
3,q117,310.732,7.591,318.323,2.4582
3,q118,352.227,3.259,355.486,1.9605
3,q119,341.596,8.694,350.29,2.0358
