iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q001,54.157,2.836,56.993,1.0
1,q002,789.92,1.949,791.869,1.9074
1,q003,241.093,2.599,243.692,2.123
1,q004,236.396,1.024,237.42,2.118
1,q005,591.936,0.984,592.92,1.7428
1,q006,157.024,2.464,159.488,1.6423
1,q007,151.681,1.507,153.188,1.5711
1,q008,227.742,2.157,229.899,1.573
1,q009,158.637,1.51,160.147,1.1486
1,q010,110.06,4.14,114.2,1.5844
1,q011,80.303,4.836,85.139,1.8696
1,q012,140.919,1.848,142.767,2.5393
1,q013,65.668,1.604,67.272,2.1985
1,q014,44.582,1.687,46.269,3.9355
1,q015,739.635,1.586,741.221,1.1204
1,q016,73.087,2.231,75.318,1.7283
1,q017,39.236,2.991,42.227,1.6654
1,q018,66.056,2.795,68.851,1.1378
1,q019,61.557,2.772,64.329,1.0005
1,q020,119.374,1.45,120.824,1.1355
1,q021,90.065,3.899,93.964,1.9906
1,q022,152.586,1.616,154.202,2.4515
1,q023,100.495,1.344,101.839,1.7936
1,q024,60.522,3.712,64.234,2.6713
1,q025,90.327,2.724,93.051,1.227
1,q026,77.392,2.967,80.359,1.1128
1,q027,40.94,3.104,44.044,2.5507
1,q028,1125.44,4.558,1129.998,1.162
1,q029,142.41,6.146,148.556,1.4143
1,q030,35465.924,6.064,35471.988,8.0542
1,q031,2267.693,6.549,2274.242,3.9648
1,q032,1425.03,4.409,1429.439,2.4786
1,q033,91.048,8.271,99.319,5.0244
1,q034,39588.672,2.421,39591.093,2.8598
1,q035,689.936,6.703,696.639,3.0366
1,q036,60.449,7.87,68.319,3.1323
1,q037,188.86,5.563,194.423,1.3305
1,q038,6836.542,7.062,6843.604,1.7901
1,q039,720.461,10.617,731.078,3.1821
1,q040,78.349,5.597,83.946,1.1913
1,q041,32.497,6.451,38.948,2.2895
1,q042,202.121,2.167,204.288,1.2184
1,q043,646.717,2.535,649.252,1.4249
1,q044,414.002,3.654,417.656,2.1509
1,q045,17.568,3.204,20.772,2.0561
1,q046,273.832,13.888,287.72,2.1794
1,q047,3989.659,5.034,3994.693,2.9768
1,q048,50.648,12.017,62.665,14.6859
1,q049,1499.838,9.857,1509.695,2.6558
1,q050,130.272,13.867,144.139,7.1615
1,q051,10903.941,5.498,10909.439,3.2508
1,q052,12756.966,14.227,12771.193,3.759
1,q053,188.514,3.36,191.874,2.1889
1,q054,35.007,8.485,43.492,1.6121
1,q055,17.318,8.24,25.558,1.8593
1,q056,2971.375,7.748,2979.123,6.8069
1,q057,8270.689,3.674,8274.363,17.0243
1,q059,10904.703,7.704,10912.407,3.6231
1,q060,1099.856,4.874,1104.73,1.4743
1,q061,207.064,6.99,214.054,1.9656
1,q062,63.359,16.533,79.892,3.3379
1,q063,64.577,7.109,71.686,1.781
1,q064,299.075,16.983,316.058,3.1013
1,q065,58.984,7.035,66.019,2.4407
1,q066,293.508,18.469,311.977,2.998
1,q067,21.848,7.802,29.65,3.1319
1,q068,81413.035,6.157,81419.192,4.2276
1,q069,7752.111,17.193,7769.304,2.251
1,q070,24189.23,20.445,24209.675,8.0933
1,q071,5239.839,9.659,5249.498,3.3548
1,q072,337.724,6.53,344.254,2.9876
1,q073,181.28,17.77,199.05,3.1141
1,q074,3241.382,5.946,3247.328,2.8524
1,q075,581.644,7.293,588.937,1.7283
1,q076,161.238,6.874,168.112,1.4413
1,q077,886.888,7.165,894.053,4.0537
1,q078,66.619,5.893,72.512,2.8937
1,q079,389.509,6.418,395.927,1.6488
1,q080,161.884,1.913,163.797,1.4635
1,q081,82.447,1.815,84.262,1.592
1,q082,197.021,1.714,198.735,2.1511
1,q083,251.888,3.716,255.604,2.0655
1,q084,729.944,1.655,731.599,1.4955
1,q085,746.443,3.535,749.978,1.4893
1,q086,157.169,2.209,159.378,1.4091
1,q087,106.361,1.605,107.966,1.7047
1,q088,716.757,3.962,720.719,1.1204
1,q089,173.212,3.944,177.156,2.2199
1,q090,165.89,1.709,167.599,1.6058
1,q091,518.138,3.862,522.0,2.2676
1,q092,110.069,3.734,113.803,1.1908
1,q093,258.843,3.908,262.751,2.9399
1,q094,84.425,1.376,85.801,2.0587
1,q095,359.847,2.342,362.189,1.3657
1,q096,344.5,2.749,347.249,1.2364
1,q097,3656.556,3.46,3660.016,1.7593
1,q098,2689.931,6.684,2696.615,2.3536
1,q099,180.715,6.523,187.238,3.4679
1,q100,129.45,2.53,131.98,1.1003
1,q101,146.656,2.482,149.138,1.1702
1,q102,283.21,2.076,285.286,1.1588
1,q103,315.984,7.261,323.245,2.6595
1,q104,1487.453,7.04,1494.493,2.441
1,q105,12978.111,2.901,12981.012,2.1296
1,q106,352.683,3.215,355.898,2.2517
1,q107,33710.228,2.954,33713.182,3.5012
1,q108,47182.339,6.079,47188.418,4.1718
1,q109,218.342,12.274,230.616,1.431
1,q110,145.952,4.45,150.402,1.3579
1,q111,260.919,11.352,272.271,1.3983
1,q112,215.694,11.572,227.266,1.3341
1,q113,1738.275,2.405,1740.68,2.9632
1,q114,1621.896,3.082,1624.978,2.3591
1,q115,2797.371,2.947,2800.318,2.7151
1,q116,265.317,2.833,268.15,2.9677
1,q117,141.847,5.37,147.217,1.2739
1,q118,199.646,6.214,205.86,1.6196
1,q119,297.748,2.758,300.506,1.6465
1,q121,149.393,3.653,153.046,1.7201
1,q123,12520.046,2.555,12522.601,2.7639
1,q124,494.973,6.679,501.652,1.7327
1,q125,56.814,7.422,64.236,2.8956
1,q127,208.174,5.964,214.138,2.3453
1,q128,252.146,5.802,257.948,2.1794
1,q129,257.892,11.895,269.787,2.5509
1,q130,104.734,4.111,108.845,1.4139
1,q131,1521.149,6.126,1527.275,3.0686
1,q132,974.885,14.671,989.556,4.7799
1,q133,1338.942,13.377,1352.319,3.3092
1,q134,11718.979,15.297,11734.276,6.5074
1,q135,144455.574,5.117,144460.691,1.9881
1,q136,30919.815,15.168,30934.983,3.1568
1,q137,207.019,11.318,218.337,4.3516
1,q138,4992.182,8.602,5000.784,6.4776
1,q139,418.246,14.257,432.503,1.1834
1,q140,14790.579,13.975,14804.554,8.8925
1,q141,22396.74,27.563,22424.303,1.6876
1,q142,21745.539,34.515,21780.054,4.2528
1,q143,20184.11,13.502,20197.612,5.9208
1,q144,1732.915,15.008,1747.923,1.2625
1,q145,296.608,20.221,316.829,2.8881
1,q146,267.279,7.546,274.825,1.352
2,q001,29.11,0.842,29.952,1.0
2,q002,810.05,2.089,812.139,1.6622
2,q003,228.304,1.079,229.383,1.3925
2,q004,268.484,2.518,271.002,1.3736
2,q005,563.529,1.014,564.543,1.7569
2,q006,157.009,2.364,159.373,1.2723
2,q007,175.981,3.383,179.364,1.0
2,q008,229.897,2.96,232.857,1.0
2,q009,171.181,3.423,174.604,1.1625
2,q010,104.256,1.922,106.178,1.1072
2,q011,72.846,2.161,75.007,1.1072
2,q012,122.535,1.806,124.341,1.1625
2,q013,50.824,1.506,52.33,1.2217
2,q014,23.439,1.706,25.145,1.0
2,q015,705.258,1.628,706.886,1.1072
2,q016,74.38,1.75,76.13,1.1072
2,q017,39.771,2.842,42.613,2.417
2,q018,63.253,2.673,65.926,1.1072
2,q019,39.982,1.227,41.209,1.0
2,q020,118.311,1.463,119.774,1.1253
2,q021,65.191,1.56,66.751,1.0
2,q022,469.202,3.68,472.882,2.0876
2,q023,52.729,1.441,54.17,1.4171
2,q024,50.188,3.614,53.802,1.0
2,q025,107.556,6.727,114.283,1.1298
2,q026,73.455,1.907,75.362,1.0815
2,q027,42.709,3.126,45.835,1.1751
2,q028,1131.947,1.891,1133.838,1.1505
2,q029,131.822,2.718,134.54,1.0951
2,q030,108993.138,6.319,108999.457,6.0987
2,q031,903.64,2.665,906.305,2.8457
2,q032,2381.303,8.342,2389.645,2.2822
2,q033,39.046,8.39,47.436,1.2185
2,q034,67226.216,4.634,67230.85,2.1014
2,q035,358.71,7.074,365.784,2.3122
2,q036,46.365,2.933,49.298,1.4801
2,q037,186.524,6.089,192.613,1.2897
2,q038,6781.975,6.965,6788.94,1.2508
2,q039,715.555,3.162,718.717,1.3708
2,q040,79.151,5.889,85.04,1.0
2,q041,16.468,2.835,19.303,1.0
2,q042,207.68,5.178,212.858,1.1672
2,q043,817.405,6.666,824.071,1.7405
2,q044,211.493,9.845,221.338,1.1227
2,q045,194.038,7.735,201.773,1.7503
2,q046,132.801,5.6,138.401,1.2023
2,q047,4037.531,12.449,4049.98,1.9584
2,q048,37.575,11.153,48.728,1.1908
2,q049,2940.038,13.216,2953.254,2.3182
2,q050,236.286,5.615,241.901,1.715
2,q051,11719.664,5.629,11725.293,1.433
2,q052,13070.109,15.663,13085.772,1.578
2,q053,143.138,7.401,150.539,1.1029
2,q054,14.223,3.609,17.832,1.1089
2,q055,10.124,3.286,13.41,1.3549
2,q056,1537.6,7.045,1544.645,4.1196
2,q057,95.312,3.706,99.018,2.6568
2,q059,5875.179,20.098,5895.277,1.5558
2,q060,969.995,12.514,982.509,1.2804
2,q061,385.588,7.281,392.869,1.6916
2,q062,32.523,6.389,38.912,1.2397
2,q063,33.363,7.165,40.528,1.3988
2,q064,170.456,17.322,187.778,1.5992
2,q065,52.961,7.406,60.367,1.6551
2,q066,359.353,7.552,366.905,2.7846
2,q067,19.409,7.714,27.123,1.1413
2,q069,8264.662,6.801,8271.463,1.5667
2,q070,5788.17,25.304,5813.474,1.3426
2,q072,170.583,12.605,183.188,1.1813
2,q073,154.187,20.162,174.349,1.3551
2,q074,2850.867,6.551,2857.418,1.2176
2,q075,505.156,7.675,512.831,1.1771
2,q076,161.936,7.239,169.175,1.1493
2,q077,545.582,7.343,552.925,1.7055
2,q078,116.977,5.937,122.914,1.9081
2,q079,393.217,6.688,399.905,1.1531
2,q080,160.494,5.271,165.765,1.1072
2,q081,89.337,3.242,92.579,1.1072
2,q082,209.799,3.96,213.759,1.1625
2,q083,243.247,1.708,244.955,1.1625
2,q084,738.451,4.096,742.547,1.1877
2,q085,713.154,1.566,714.72,1.1821
2,q086,164.111,2.784,166.895,1.1693
2,q087,108.442,1.622,110.064,1.1831
2,q088,703.53,1.572,705.102,1.1072
2,q089,169.239,2.435,171.674,1.3709
2,q090,221.589,4.003,225.592,1.0001
2,q091,503.978,3.805,507.783,1.6236
2,q092,109.387,1.421,110.808,1.1253
2,q093,307.336,3.772,311.108,2.2499
2,q094,413.248,1.482,414.73,1.994
2,q095,392.642,5.744,398.386,1.3525
2,q096,374.995,6.598,381.593,1.1989
2,q097,3026.088,11.26,3037.348,2.2256
2,q098,2653.329,2.852,2656.181,1.247
2,q099,158.01,6.312,164.322,1.2008
2,q100,128.521,5.761,134.282,1.1369
2,q101,159.283,2.502,161.785,1.1369
2,q102,315.781,5.232,321.013,1.0951
2,q103,321.943,2.8,324.743,1.4106
2,q104,1491.593,6.966,1498.559,1.5999
2,q105,13009.664,2.895,13012.559,1.7387
2,q106,322.374,3.201,325.575,1.2647
2,q107,33206.271,2.98,33209.251,1.6424
2,q108,37153.667,6.715,37160.382,2.3135
2,q109,184.711,4.949,189.66,1.4124
2,q110,125.626,4.825,130.451,1.2815
2,q111,247.404,4.78,252.184,1.3834
2,q112,218.745,4.905,223.65,1.288
2,q113,1788.462,6.308,1794.77,1.5128
2,q114,1645.135,3.426,1648.561,1.3572
2,q115,2829.773,6.515,2836.288,1.5422
2,q116,261.578,7.059,268.637,1.1657
2,q117,143.406,5.864,149.27,1.1369
2,q118,173.899,2.478,176.377,1.2124
2,q119,288.948,2.795,291.743,1.2528
2,q121,307.21,9.294,316.504,1.3822
2,q123,10967.196,3.711,10970.907,2.4655
2,q124,474.084,2.73,476.814,1.1886
2,q125,89.802,7.576,97.378,1.0757
2,q127,117.349,13.161,130.51,1.2872
2,q128,139.21,14.278,153.488,1.2023
2,q129,191.706,5.051,196.757,1.1818
2,q130,87.86,4.16,92.02,1.1624
2,q131,4173.979,6.012,4179.991,2.7787
2,q132,2355.852,15.279,2371.131,1.5855
2,q133,1027.889,5.344,1033.233,2.2673
2,q134,9662.896,14.822,9677.718,1.6211
2,q135,143759.276,5.265,143764.541,1.5515
2,q136,28899.44,16.266,28915.706,1.5964
2,q137,69.937,4.582,74.519,1.3777
2,q138,1560.478,3.428,1563.906,3.9566
2,q139,429.193,15.89,445.083,1.0918
2,q140,16718.846,15.458,16734.304,1.7825
2,q141,45625.763,10.904,45636.667,1.7334
2,q142,44087.338,34.797,44122.135,1.7737
2,q143,23041.737,32.85,23074.587,2.0911
2,q144,1690.108,14.002,1704.11,1.1148
2,q145,178.978,8.658,187.636,1.5673
2,q146,288.432,7.617,296.049,1.3222
3,q001,54.656,1.793,56.449,1.0
3,q002,789.972,2.511,792.483,1.6622
3,q003,223.685,0.971,224.656,1.3925
3,q004,246.612,1.086,247.698,1.3736
3,q005,574.851,2.473,577.324,1.7569
3,q006,153.215,1.024,154.239,1.2723
3,q007,185.285,3.618,188.903,1.0
3,q008,226.858,1.569,228.427,1.0
3,q009,137.377,1.931,139.308,1.1625
3,q010,91.317,1.881,93.198,1.1072
3,q011,85.014,4.761,89.775,1.1072
3,q012,128.194,1.726,129.92,1.1625
3,q013,66.245,3.543,69.788,1.2079
3,q014,23.858,1.81,25.668,1.0
3,q015,711.454,1.658,713.112,1.1072
3,q016,84.586,1.695,86.281,1.1072
3,q017,34.285,2.455,36.74,1.8169
3,q018,58.177,1.549,59.726,1.1072
3,q019,40.055,1.187,41.242,1.0
3,q020,117.992,3.388,121.38,1.1253
3,q021,67.513,1.553,69.066,1.0
3,q022,309.1,3.917,313.017,1.4639
3,q023,258.36,3.343,261.703,1.5737
3,q024,59.494,3.537,63.031,1.0
3,q025,89.404,2.84,92.244,1.1228
3,q026,75.289,2.114,77.403,1.0815
3,q027,30.154,3.152,33.306,1.1671
3,q028,1127.767,1.999,1129.766,1.1504
3,q029,142.551,6.419,148.97,1.0951
3,q030,16738.064,6.246,16744.31,3.1387
3,q031,733.549,6.68,740.229,1.879
3,q032,5953.922,3.404,5957.326,2.42
3,q033,45.431,7.774,53.205,1.0007
3,q034,107857.023,2.596,107859.619,2.0637
3,q035,259.648,7.648,267.296,1.4731
3,q036,59.038,2.989,62.027,1.4801
3,q037,172.365,2.651,175.016,1.2897
3,q038,6799.686,7.003,6806.689,1.2508
3,q039,732.632,8.021,740.653,1.3708
3,q040,81.176,5.974,87.15,1.0
3,q041,17.403,2.792,20.195,1.0
3,q042,190.955,2.212,193.167,1.1657
3,q043,646.702,2.737,649.439,1.123
3,q044,212.483,9.856,222.339,1.1227
3,q045,23.301,2.945,26.246,1.2245
3,q046,147.44,8.93,156.37,1.2968
3,q047,4100.582,12.878,4113.46,1.6586
3,q048,18.657,4.544,23.201,1.0073
3,q049,1650.88,14.859,1665.739,2.9155
3,q050,256.217,15.628,271.845,1.6755
3,q051,11010.629,13.931,11024.56,1.433
3,q052,12692.534,14.532,12707.066,1.4477
3,q053,144.176,7.193,151.369,1.0987
3,q054,13.951,3.635,17.586,1.0475
3,q055,17.737,7.68,25.417,1.1657
3,q056,84846.45,2.962,84849.412,10.385
3,q057,115.605,9.223,124.828,1.1924
3,q059,8900.988,20.21,8921.198,1.3635
3,q060,948.152,5.104,953.256,1.1277
3,q061,135.132,7.219,142.351,1.0971
3,q062,43.27,15.859,59.129,1.1325
3,q063,32.953,17.53,50.483,1.1177
3,q064,170.413,18.509,188.922,1.3626
3,q065,51.429,7.148,58.577,1.1405
3,q066,92.793,7.386,100.179,1.1433
3,q067,33.635,19.479,53.114,1.0
3,q069,7154.382,6.992,7161.374,1.3825
3,q070,8613.372,19.851,8633.223,1.7966
3,q072,172.919,16.751,189.67,1.1562
3,q073,161.458,7.656,169.114,1.1422
3,q074,2789.639,15.715,2805.354,1.1599
3,q075,515.758,18.743,534.501,1.159
3,q076,161.85,6.841,168.691,1.1493
3,q077,567.274,6.816,574.09,1.1602
3,q078,66.408,14.623,81.031,1.7391
3,q079,493.535,6.065,499.6,1.2456
3,q080,171.594,5.137,176.731,1.1072
3,q081,94.097,4.468,98.565,1.1072
3,q082,210.861,1.661,212.522,1.1625
3,q083,233.805,1.534,235.339,1.1625
3,q084,748.914,3.79,752.704,1.1827
3,q085,737.519,1.625,739.144,1.1821
3,q086,168.078,4.582,172.66,1.1693
3,q087,106.305,1.595,107.9,1.1842
