iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q001,26.256,2.392,28.648,1.0
1,q002,414.088,0.472,414.56,1.9031
1,q003,117.693,0.501,118.194,2.1305
1,q004,126.329,0.434,126.763,2.1249
1,q005,308.602,0.476,309.078,1.752
1,q006,80.866,0.443,81.309,1.6255
1,q007,86.227,0.631,86.858,1.5772
1,q008,116.98,0.572,117.552,1.5679
1,q009,77.139,0.676,77.815,1.1486
1,q010,48.853,0.65,49.503,1.592
1,q011,38.927,0.653,39.58,1.8799
1,q012,66.402,0.646,67.048,2.5394
1,q013,27.884,0.631,28.515,2.1378
1,q014,20.431,0.628,21.059,3.7079
1,q015,339.806,0.601,340.407,1.1187
1,q016,38.717,0.582,39.299,1.7248
1,q017,9.14,0.614,9.754,1.6773
1,q018,32.736,0.716,33.452,1.1378
1,q019,21.357,0.508,21.865,1.0005
1,q020,56.429,0.565,56.994,1.1345
1,q021,41.189,0.576,41.765,1.983
1,q022,80.832,0.606,81.438,2.4494
1,q023,56.406,0.581,56.987,1.7852
1,q024,21.77,0.579,22.349,2.6919
1,q025,49.111,1.67,50.781,1.227
1,q026,32.091,1.277,33.368,1.1125
1,q027,21.65,1.563,23.213,2.5091
1,q028,561.525,1.258,562.783,1.1646
1,q029,69.283,1.343,70.626,1.4111
1,q030,18006.584,1.456,18008.04,8.0041
1,q031,1176.139,1.446,1177.585,3.9234
1,q032,690.241,1.601,691.842,2.4804
1,q033,42.807,1.66,44.467,4.9617
1,q034,18907.643,1.483,18909.126,2.8436
1,q035,386.264,2.666,388.93,3.076
1,q036,27.265,1.509,28.774,3.1756
1,q037,84.513,1.474,85.987,1.3425
1,q038,3395.944,1.483,3397.427,1.7911
1,q039,367.967,1.557,369.524,3.1906
1,q040,30.46,1.273,31.733,1.1915
1,q041,9.148,1.26,10.408,2.3195
1,q042,103.791,1.229,105.02,1.2206
1,q043,330.038,1.469,331.507,1.4159
1,q044,231.685,1.589,233.274,2.1608
1,q045,7.685,1.504,9.189,2.0636
1,q046,154.943,2.356,157.299,2.2273
1,q047,1996.039,2.321,1998.36,3.0468
1,q048,18.523,2.435,20.958,14.9677
1,q049,760.193,2.338,762.531,2.7046
1,q050,64.068,2.385,66.453,7.1684
1,q051,5472.934,2.369,5475.303,3.2221
1,q052,6377.81,2.365,6380.175,3.7739
1,q053,88.72,1.644,90.364,2.1903
1,q054,8.892,1.677,10.569,1.6152
1,q055,3.908,1.707,5.615,1.8527
1,q056,1514.097,1.719,1515.816,6.8726
1,q057,4823.837,1.78,4825.617,17.3646
1,q059,5264.447,3.026,5267.473,3.622
1,q060,548.139,2.478,550.617,1.4783
1,q061,107.362,2.651,110.013,2.0096
1,q062,29.538,2.527,32.065,3.3946
1,q063,41.867,2.626,44.493,1.9114
1,q064,169.846,2.78,172.626,3.0756
1,q065,37.482,2.691,40.173,2.4734
1,q066,156.013,2.815,158.828,3.0463
1,q067,11.641,2.813,14.454,3.1886
1,q068,44298.027,2.964,44300.991,4.2353
1,q069,4213.759,3.215,4216.974,2.2575
1,q070,14218.877,3.026,14221.903,8.3125
1,q071,2939.551,2.977,2942.528,3.3824
1,q072,178.02,3.142,181.162,2.9871
1,q073,96.726,3.138,99.864,2.7693
1,q074,1431.832,2.471,1434.303,2.4302
1,q075,286.048,2.627,288.675,1.7276
1,q076,85.975,2.584,88.559,1.4417
1,q077,547.003,2.608,549.611,4.1211
1,q078,37.554,2.627,40.181,2.9705
1,q079,192.119,2.517,194.636,1.6479
1,q080,75.614,0.647,76.261,1.4655
1,q081,43.707,0.579,44.286,1.5995
1,q082,97.663,0.626,98.289,2.1509
1,q083,118.774,0.619,119.393,2.0655
1,q084,366.951,0.646,367.597,1.4811
1,q085,348.07,0.619,348.689,1.4753
1,q086,77.598,1.288,78.886,1.4118
1,q087,49.4,0.583,49.983,1.6979
1,q088,351.832,0.588,352.42,1.1187
1,q089,89.084,0.618,89.702,2.2195
1,q090,91.794,0.62,92.414,1.6045
1,q091,280.81,0.635,281.445,2.2684
1,q092,52.936,0.567,53.503,1.1909
1,q093,135.861,0.604,136.465,2.9409
1,q094,42.341,0.56,42.901,2.0567
1,q095,192.339,1.467,193.806,1.3733
1,q096,164.23,1.513,165.743,1.2439
1,q097,1814.211,1.6,1815.811,1.7619
1,q098,1288.996,1.505,1290.501,2.355
1,q099,80.295,1.502,81.797,3.4718
1,q100,61.748,1.329,63.077,1.0992
1,q101,76.024,1.28,77.304,1.1706
1,q102,143.425,1.256,144.681,1.1544
1,q103,177.269,1.496,178.765,2.6506
1,q104,790.338,1.484,791.822,2.4496
1,q105,7157.64,1.555,7159.195,2.1192
1,q106,174.198,1.54,175.738,2.2656
1,q107,17047.601,1.551,17049.152,3.5047
1,q108,25800.949,1.562,25802.511,4.159
1,q109,86.714,2.367,89.081,1.4422
1,q110,77.6,2.338,79.938,1.3688
1,q111,113.412,2.282,115.694,1.3983
1,q112,100.351,2.354,102.705,1.3427
1,q113,906.531,1.484,908.015,2.948
