iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q001,16.792,0.911,17.703,1.0
1,q002,422.363,0.98,423.343,1.9031
1,q003,113.852,1.011,114.863,2.1301
1,q004,76.11,1.049,77.159,13.0948
1,q005,306.068,0.933,307.001,1.7517
1,q006,483.872,1.072,484.944,51.5643
1,q007,112.347,1.377,113.724,305.3721
1,q008,115.581,1.495,117.076,9.701
1,q009,77.738,1.356,79.094,2.5224
1,q010,161.755,1.792,163.547,19.1044
1,q011,38.8,2.012,40.812,2.2326
1,q012,67.38,1.638,69.018,1.5682
1,q013,27.807,1.431,29.238,2.2684
1,q014,24.961,1.652,26.613,17.1643
1,q015,354.04,1.646,355.686,1.3146
1,q016,38.305,1.739,40.044,1.7329
1,q017,8.424,1.25,9.674,2.5194
1,q018,45.239,1.54,46.779,4.6389
1,q019,27.009,1.217,28.226,1.4727
1,q020,55.668,1.529,57.197,1.1249
1,q021,50.044,1.53,51.574,12.973
1,q022,357.691,1.547,359.238,10.6031
1,q023,56.715,1.31,58.025,1.7852
1,q024,14.985,1.414,16.399,2.9644
1,q025,75.419,2.545,77.964,3.3758
1,q026,36.907,1.898,38.805,1.5006
1,q027,27.586,3.068,30.654,2.0439
1,q028,595.663,1.814,597.477,1.4416
1,q029,71.102,2.699,73.801,1.7723
1,q030,17921.991,2.484,17924.475,7.4927
1,q031,472.669,3.348,476.017,2.4053
1,q032,919.311,3.288,922.599,3.3776
1,q033,88760.926,3.14,88764.066,18.9476
1,q034,18969.935,2.284,18972.219,2.7425
1,q035,202.34,2.769,205.109,4.3273
1,q036,16.908,2.641,19.549,2.9208
1,q037,175.211,2.093,177.304,1.7172
1,q038,3286.549,2.82,3289.369,1.3455
1,q039,3121.188,3.076,3124.264,3.6606
1,q040,32.681,2.406,35.087,1.4894
1,q041,18.909,2.824,21.733,4.5274
1,q042,97.502,2.092,99.594,1.3121
1,q043,324.263,2.529,326.792,1.7822
1,q044,115.082,3.868,118.95,1.5277
1,q045,8.123,2.956,11.079,5.4634
1,q046,66.748,5.479,72.227,1.9143
1,q047,136677.584,4.963,136682.547,11.5469
1,q048,8.059,4.16,12.219,12.068
1,q049,2049.492,5.58,2055.072,3.3925
1,q050,19.285,6.719,26.004,6.7242
1,q051,2931.879,5.446,2937.325,6.2574
1,q052,7209.419,5.995,7215.414,2.611
1,q053,85.192,2.787,87.979,1.8402
1,q054,13.465,3.378,16.843,7.1011
1,q055,5.922,3.145,9.067,2.2437
1,q056,1383.295,5.456,1388.751,22.8428
1,q057,32.961,3.656,36.617,4.1642
1,q060,520.95,4.433,525.383,1.741
1,q061,77.038,6.998,84.036,1.7839
1,q062,38.161,6.278,44.439,2.1714
1,q063,35.364,7.288,42.652,2.5618
1,q064,435.405,7.066,442.471,2.7358
1,q065,36.071,6.938,43.009,2.9436
1,q066,307.249,7.221,314.47,2.3622
1,q067,28.151,7.55,35.701,3.0961
1,q068,41100.268,5.254,41105.522,3.4526
1,q069,3470.969,6.482,3477.451,2.0704
1,q070,2994.325,8.174,3002.499,2.1138
1,q071,6262.867,5.519,6268.386,3.5992
1,q072,111.792,5.81,117.602,2.5185
1,q073,2043.345,7.051,2050.396,3.6168
1,q074,2184.482,6.09,2190.572,2.0049
1,q075,254.542,7.33,261.872,1.5689
1,q076,113.971,6.944,120.915,1.8232
1,q077,263.01,7.008,270.018,1.557
1,q078,55.301,5.889,61.19,4.2309
1,q079,207.155,6.033,213.188,1.5918
1,q080,121.055,2.08,123.135,1.8556
1,q081,42.301,1.729,44.03,1.3371
1,q082,100.826,1.735,102.561,1.2372
1,q083,119.001,1.645,120.646,1.2971
1,q084,985.841,1.657,987.498,3.6737
1,q085,364.146,1.451,365.597,2.3819
1,q086,77.522,1.931,79.453,1.1789
1,q087,49.112,1.6,50.712,1.6162
1,q088,352.182,1.569,353.751,1.0952
1,q089,140.644,1.78,142.424,1.448
1,q090,99.179,1.711,100.89,1.2935
1,q091,328.327,1.736,330.063,1.4377
1,q092,52.551,1.448,53.999,1.2266
1,q093,72.313,1.523,73.836,2.2207
1,q094,42.259,1.424,43.683,2.1506
1,q095,297.432,2.104,299.536,2.0176
1,q096,177.21,2.638,179.848,1.3758
1,q097,3230.106,3.735,3233.841,6.5668
1,q098,2732.111,2.824,2734.935,3.584
1,q099,86.141,2.597,88.738,2.2592
1,q100,76.326,2.389,78.715,1.2303
1,q101,95.323,2.538,97.861,1.366
1,q102,145.862,2.045,147.907,1.3838
1,q103,140.358,2.778,143.136,2.6519
1,q104,795.705,2.626,798.331,2.6656
1,q105,7444.331,2.695,7447.026,3.5595
1,q106,164.275,3.24,167.515,1.4023
1,q107,49653.74,2.935,49656.675,8.1189
1,q109,88.413,4.562,92.975,1.7427
1,q110,65.809,3.979,69.788,1.4388
1,q111,127.553,4.275,131.828,1.5169
1,q112,119.025,4.123,123.148,1.4875
1,q113,663.444,2.343,665.787,1.3298
1,q114,680.863,3.106,683.969,1.3543
1,q115,1615.911,2.644,1618.555,1.7538
1,q116,195.122,2.806,197.928,2.0696
1,q117,95.67,2.323,97.993,1.3126
1,q118,75.52,2.43,77.95,1.5124
1,q119,143.096,2.781,145.877,1.9439
1,q121,108.055,3.761,111.816,1.8502
1,q123,4715.244,2.475,4717.719,3.5433
1,q124,625.94,2.694,628.634,4.8905
1,q125,29.468,2.782,32.25,2.3494
1,q127,66.82,5.155,71.975,1.4658
1,q128,64.065,5.643,69.708,1.8325
1,q129,98.808,4.851,103.659,1.1958
1,q130,45.017,4.15,49.167,1.2998
1,q131,90988.266,5.649,90993.915,9.188
1,q132,1218.775,5.869,1224.644,2.857
1,q133,735.432,5.369,740.801,5.7964
1,q134,41.971,5.757,47.728,8.6908
1,q135,104582.603,4.816,104587.419,4.4651
1,q137,46.191,4.78,50.971,2.4589
1,q138,827.195,3.238,830.433,6.364
1,q139,205.475,5.682,211.157,1.3262
1,q140,8541.525,13.687,8555.212,3.2561
1,q141,10994.343,10.259,11004.602,1.9231
1,q142,10460.056,13.348,10473.404,1.6545
1,q143,7686.092,20.669,7706.761,1.9232
1,q144,967.55,5.563,973.113,1.5122
1,q145,86.966,7.766,94.732,1.6913
1,q146,142.489,7.43,149.919,1.3421
2,q001,16.624,0.874,17.498,1.0133
2,q002,409.698,0.953,410.651,1.7512
2,q003,113.72,1.014,114.734,1.4148
2,q004,127.704,1.014,128.718,1.3649
2,q005,314.269,0.98,315.249,1.757
2,q006,77.947,1.138,79.085,1.2735
2,q007,85.193,1.407,86.6,1.0453
2,q008,116.943,1.524,118.467,1.2452
2,q009,88.119,1.445,89.564,1.297
