iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q001,29.571,2.713,32.284,1.0
1,q002,410.538,0.639,411.177,1.9031
1,q003,120.049,0.673,120.722,2.1305
1,q004,123.85,0.641,124.491,2.1249
1,q005,301.241,0.604,301.845,1.752
1,q006,80.649,0.683,81.332,1.6255
1,q007,85.204,0.95,86.154,1.5772
1,q008,114.845,0.947,115.792,1.5679
1,q009,76.08,0.969,77.049,1.1486
1,q010,48.48,1.205,49.685,1.592
1,q011,38.953,1.353,40.306,1.8799
1,q012,67.975,1.07,69.045,2.5394
1,q013,28.276,1.002,29.278,2.1378
1,q014,21.364,1.061,22.425,3.7079
1,q015,343.978,1.081,345.059,1.1187
1,q016,38.551,1.144,39.695,1.7248
1,q017,9.258,0.851,10.109,1.6773
1,q018,32.898,1.256,34.154,1.1378
1,q019,20.963,0.785,21.748,1.0005
1,q020,56.363,0.951,57.314,1.1345
1,q021,40.872,0.983,41.855,1.983
1,q022,80.523,1.022,81.545,2.4752
1,q023,56.224,0.891,57.115,1.7852
1,q024,21.68,0.938,22.618,2.6919
1,q025,48.983,1.856,50.839,1.227
1,q026,32.305,1.339,33.644,1.1125
1,q027,21.461,2.173,23.634,2.5091
1,q028,561.913,1.256,563.169,1.1646
1,q029,70.067,1.749,71.816,1.4111
1,q030,17625.888,1.75,17627.638,8.3867
1,q031,1122.606,1.86,1124.466,3.9493
1,q032,688.357,2.414,690.771,2.4804
1,q033,42.427,2.215,44.642,4.9617
1,q034,19060.827,1.707,19062.534,2.8436
1,q035,379.659,1.985,381.644,3.076
1,q036,27.149,1.855,29.004,3.1756
1,q037,85.732,1.637,87.369,1.3425
1,q038,3425.04,2.072,3427.112,1.7911
1,q039,370.354,2.911,373.265,3.1906
1,q040,31.191,1.629,32.82,1.1915
1,q041,9.619,1.884,11.503,2.3195
1,q042,101.7,1.729,103.429,1.2206
1,q043,327.999,1.735,329.734,1.4159
1,q044,230.454,2.64,233.094,2.1608
1,q045,7.909,2.039,9.948,2.0636
1,q046,156.686,3.977,160.663,2.2273
1,q047,2074.93,3.632,2078.562,3.0468
1,q048,18.208,3.151,21.359,14.9677
1,q049,733.76,3.933,737.693,2.7046
1,q050,62.992,3.906,66.898,7.1684
1,q051,5317.386,3.858,5321.244,3.2221
1,q052,6383.872,4.015,6387.887,3.7739
1,q053,86.36,1.995,88.355,2.1903
1,q054,9.064,2.348,11.412,1.6152
1,q055,4.165,2.166,6.331,1.8527
1,q056,1519.428,2.006,1521.434,6.8726
1,q057,4810.797,2.371,4813.168,17.3646
1,q059,5272.134,5.597,5277.731,3.622
1,q060,513.911,3.448,517.359,1.4783
1,q061,104.429,4.886,109.315,2.0096
