iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q01_s111,1337.694,3.833,1341.527,1.3337
1,q01_s123,1345.556,0.839,1346.395,1.3316
1,q01_s1337,1328.516,0.817,1329.333,1.3352
1,q01_s17,1335.914,0.796,1336.71,1.3319
1,q01_s2024,1334.094,0.797,1334.891,1.3319
1,q01_s222,1334.782,0.835,1335.617,1.3318
1,q01_s321,1343.613,0.804,1344.417,1.3319
1,q01_s333,1325.905,0.809,1326.714,1.3349
1,q01_s42,1337.618,0.792,1338.41,1.3333
1,q01_s444,1331.146,0.821,1331.967,1.3327
1,q01_s456,1318.509,0.787,1319.296,1.3361
1,q01_s55,1334.287,0.814,1335.101,1.3319
1,q01_s555,1343.35,0.834,1344.184,1.3311
1,q01_s654,1341.331,0.861,1342.192,1.3312
1,q01_s666,1337.11,0.747,1337.857,1.3338
1,q01_s7,1329.575,0.805,1330.38,1.3358
1,q01_s777,1334.478,0.82,1335.298,1.3318
1,q01_s789,1327.773,0.812,1328.585,1.3348
1,q01_s987,1325.263,0.828,1326.091,1.3351
1,q01_s99,1344.217,0.824,1345.041,1.3312
1,q02_s111,53562.704,1.813,53564.517,1.6522
1,q02_s123,53163.294,1.889,53165.183,1.1776
1,q02_s1337,54547.582,1.793,54549.375,1.0567
1,q02_s17,51237.434,1.829,51239.263,1.0511
1,q02_s2024,56442.513,1.768,56444.281,1.0615
1,q02_s222,55347.771,1.755,55349.526,1.0597
1,q02_s321,50914.245,1.792,50916.037,1.0526
1,q02_s333,48984.506,1.716,48986.222,1.0588
1,q02_s42,54823.524,1.739,54825.263,1.0588
1,q02_s444,52029.281,1.779,52031.06,1.0501
1,q02_s456,50964.886,1.764,50966.65,1.054
1,q02_s55,50144.321,1.765,50146.086,1.0587
1,q02_s555,53424.354,1.803,53426.157,1.0472
1,q02_s654,54560.331,1.778,54562.109,1.0521
1,q02_s666,55138.263,1.71,55139.973,1.0566
1,q02_s7,53215.013,1.809,53216.822,1.0482
1,q02_s777,50648.989,1.762,50650.751,1.0532
1,q02_s789,52607.376,1.79,52609.166,1.0527
1,q02_s987,51945.288,1.762,51947.05,1.0518
1,q02_s99,52197.207,1.8,52199.007,1.0464
1,q03_s111,319.888,1.146,321.034,7.288
1,q03_s123,317.918,1.092,319.01,1.6009
1,q03_s1337,319.023,1.036,320.059,1.5867
1,q03_s17,318.768,1.053,319.821,1.6007
1,q03_s2024,318.533,1.052,319.585,1.587
1,q03_s222,318.823,1.035,319.858,1.611
1,q03_s321,318.184,1.053,319.237,1.5898
1,q03_s333,321.188,1.103,322.291,1.5998
1,q03_s42,318.796,1.012,319.808,1.586
1,q03_s444,316.681,1.066,317.747,1.6
1,q03_s456,320.192,1.057,321.249,1.6074
1,q03_s55,317.494,1.04,318.534,1.5878
1,q03_s555,317.517,1.046,318.563,1.6003
1,q03_s654,320.812,1.045,321.857,1.6125
1,q03_s666,317.048,1.031,318.079,1.5984
1,q03_s7,319.253,1.055,320.308,1.5826
1,q03_s777,319.65,1.066,320.716,1.5907
1,q03_s789,317.2,1.053,318.253,1.6121
1,q03_s987,317.154,1.047,318.201,1.6033
1,q03_s99,319.878,1.053,320.931,1.5991
