iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
1,q01_s111,1330.691,1.841,1332.532,1.3337
1,q01_s123,1334.556,0.317,1334.873,1.1323
1,q01_s1337,1317.638,0.341,1317.979,1.1355
1,q01_s17,1332.721,0.315,1333.036,1.1325
1,q01_s2024,1331.385,0.327,1331.712,1.1326
1,q01_s222,1334.834,0.345,1335.179,1.1327
1,q01_s321,1330.0,0.328,1330.328,1.1329
1,q01_s333,1320.459,0.342,1320.801,1.1355
1,q01_s42,1322.007,0.331,1322.338,1.134
1,q01_s444,1325.624,0.334,1325.958,1.1335
1,q01_s456,1315.813,0.339,1316.152,1.1364
1,q01_s55,1332.477,0.329,1332.806,1.1327
1,q01_s555,1334.321,0.323,1334.644,1.1321
1,q01_s654,1338.078,4.727,1342.805,1.1323
1,q01_s666,1323.53,4.371,1327.901,1.1346
1,q01_s7,1316.075,0.412,1316.487,1.1363
1,q01_s777,1328.252,9.046,1337.298,1.1327
1,q01_s789,1317.489,0.331,1317.82,1.1354
1,q01_s987,1318.482,0.328,1318.81,1.1355
1,q01_s99,1335.505,0.335,1335.84,1.132
1,q02_s111,53058.332,4.25,53062.582,1.6522
1,q02_s123,53023.517,1.189,53024.706,1.6454
1,q02_s1337,53906.583,1.175,53907.758,1.6522
1,q02_s17,50682.985,1.149,50684.134,1.6308
1,q02_s2024,55713.318,1.132,55714.45,1.6577
1,q02_s222,55008.909,1.152,55010.061,1.6552
1,q02_s321,50199.08,1.178,50200.258,1.6321
1,q02_s333,48382.993,1.134,48384.127,1.6339
1,q02_s42,54095.32,1.17,54096.49,1.6542
1,q02_s444,51369.321,1.134,51370.455,1.6373
1,q02_s456,50430.083,1.175,50431.258,1.6369
1,q02_s55,49650.306,1.179,49651.485,1.6333
1,q02_s555,52604.082,1.171,52605.253,1.6376
1,q02_s654,53917.258,1.149,53918.407,1.6414
1,q02_s666,54346.662,1.164,54347.826,1.6485
1,q02_s7,52384.439,1.169,52385.608,1.6381
1,q02_s777,49993.405,1.13,49994.535,1.6357
1,q02_s789,51753.476,1.119,51754.595,1.64
1,q02_s987,51251.12,1.115,51252.235,1.6336
1,q02_s99,51408.438,1.157,51409.595,1.6385
1,q03_s111,320.181,0.598,320.779,5.1646
1,q03_s123,316.931,0.545,317.476,1.6003
1,q03_s1337,317.134,0.53,317.664,1.5876
1,q03_s17,315.183,0.531,315.714,1.6031
1,q03_s2024,316.134,0.535,316.669,1.5902
1,q03_s222,316.846,0.562,317.408,1.6156
1,q03_s321,316.033,0.538,316.571,1.5939
1,q03_s333,315.31,0.533,315.843,1.6048
1,q03_s42,317.004,0.542,317.546,1.5916
1,q03_s444,315.637,0.548,316.185,1.6066
1,q03_s456,313.381,0.514,313.895,1.614
1,q03_s55,317.664,0.549,318.213,1.5942
1,q03_s555,314.365,0.547,314.912,1.6071
1,q03_s654,317.059,0.542,317.601,1.62
1,q03_s666,318.909,0.544,319.453,1.6044
1,q03_s7,315.444,0.535,315.979,1.5895
1,q03_s777,316.915,0.538,317.453,1.5987
1,q03_s789,315.698,0.54,316.238,1.6209
1,q03_s987,314.337,0.536,314.873,1.6104
1,q03_s99,315.633,0.546,316.179,1.6061
1,q04_s111,444.955,0.497,445.452,1.5729
1,q04_s123,391.479,0.456,391.935,1.2016
1,q04_s1337,393.69,0.463,394.153,1.2071
1,q04_s17,391.048,0.471,391.519,1.2081
1,q04_s2024,392.824,0.461,393.285,1.212
1,q04_s222,392.563,0.464,393.027,1.2077
1,q04_s321,392.336,0.456,392.792,1.21
1,q04_s333,394.178,0.455,394.633,1.216
1,q04_s42,396.077,0.452,396.529,1.2033
1,q04_s444,392.585,0.431,393.016,1.2151
1,q04_s456,394.554,0.463,395.017,1.2089
1,q04_s55,391.695,0.439,392.134,1.209
1,q04_s555,395.912,0.484,396.396,1.2097
1,q04_s654,392.951,0.463,393.414,1.2169
1,q04_s666,393.961,0.591,394.552,1.2218
1,q04_s7,395.178,0.459,395.637,1.2007
1,q04_s777,391.484,0.435,391.919,1.215
1,q04_s789,393.917,0.459,394.376,1.2083
1,q04_s987,391.895,0.454,392.349,1.2144
1,q04_s99,392.544,0.458,393.002,1.2125
1,q05_s111,280.526,1.866,282.392,1.4785
1,q05_s123,279.259,1.736,280.995,1.4815
1,q05_s1337,279.03,1.771,280.801,1.4826
1,q05_s17,280.412,1.732,282.144,1.4766
1,q05_s2024,279.02,1.736,280.756,1.4895
1,q05_s222,279.31,1.753,281.063,1.4765
1,q05_s321,278.96,1.705,280.665,1.4805
